Planta,Centro,Producto,Cliente,Costo_Plant_Centro,Costo_Centro_Cliente
Planta_1,Centro_3,Producto_4,Cliente_2,9.97,9.03
Planta_1,Centro_3,Producto_5,Cliente_2,6.76,3.8
Planta_1,Centro_3,Producto_1,Cliente_3,8.0,5.52
Planta_1,Centro_3,Producto_2,Cliente_3,9.18,5.46
Planta_1,Centro_3,Producto_3,Cliente_3,3.53,3.44
Planta_1,Centro_3,Producto_4,Cliente_3,5.78,9.78
Planta_1,Centro_3,Producto_5,Cliente_3,2.53,12.31
Planta_1,Centro_3,Producto_1,Cliente_4,5.63,9.29
Planta_1,Centro_3,Producto_2,Cliente_4,5.53,7.81
Planta_1,Centro_3,Producto_3,Cliente_4,6.48,4.86
Planta_1,Centro_3,Producto_4,Cliente_4,3.46,13.34
Planta_1,Centro_3,Producto_5,Cliente_4,9.57,7.48
Planta_1,Centro_3,Producto_1,Cliente_5,4.17,10.73
Planta_1,Centro_3,Producto_2,Cliente_5,5.27,3.3
Planta_1,Centro_3,Producto_3,Cliente_5,3.25,11.59
Planta_1,Centro_3,Producto_4,Cliente_5,7.27,3.33
Planta_1,Centro_3,Producto_5,Cliente_5,3.78,5.77
Planta_1,Centro_3,Producto_1,Cliente_6,7.38,3.24
Planta_1,Centro_3,Producto_2,Cliente_6,2.83,12.6
Planta_1,Centro_3,Producto_3,Cliente_6,3.43,10.83
Planta_1,Centro_3,Producto_4,Cliente_6,3.91,4.19
Planta_1,Centro_3,Producto_5,Cliente_6,3.95,11.67
Planta_1,Centro_3,Producto_1,Cliente_7,8.85,12.96
Planta_1,Centro_3,Producto_2,Cliente_7,5.18,11.02
Planta_1,Centro_3,Producto_3,Cliente_7,3.64,6.52
Planta_1,Centro_3,Producto_4,Cliente_7,9.17,3.16
Planta_1,Centro_3,Producto_5,Cliente_7,2.68,5.49
Planta_1,Centro_3,Producto_1,Cliente_8,2.21,5.18
Planta_1,Centro_3,Producto_2,Cliente_8,6.66,8.06
Planta_1,Centro_3,Producto_3,Cliente_8,9.14,12.81
Planta_1,Centro_3,Producto_4,Cliente_8,4.73,6.11
Planta_1,Centro_3,Producto_5,Cliente_8,5.04,10.08
Planta_1,Centro_3,Producto_1,Cliente_9,4.14,10.49
Planta_1,Centro_3,Producto_2,Cliente_9,5.28,9.62
Planta_1,Centro_3,Producto_3,Cliente_9,5.49,6.53
Planta_1,Centro_3,Producto_4,Cliente_9,9.59,12.16
Planta_1,Centro_3,Producto_5,Cliente_9,3.12,13.42
Planta_1,Centro_3,Producto_1,Cliente_10,5.9,13.73
Planta_1,Centro_3,Producto_2,Cliente_10,8.4,8.1
Planta_1,Centro_3,Producto_3,Cliente_10,2.18,6.22
Planta_1,Centro_3,Producto_4,Cliente_10,6.33,10.6
Planta_1,Centro_3,Producto_5,Cliente_10,4.06,4.67
Planta_1,Centro_3,Producto_1,Cliente_11,8.68,14.81
Planta_1,Centro_3,Producto_2,Cliente_11,6.21,5.06
Planta_1,Centro_3,Producto_3,Cliente_11,4.18,3.22
Planta_1,Centro_3,Producto_4,Cliente_11,9.31,4.41
Planta_1,Centro_3,Producto_5,Cliente_11,6.61,6.29
Planta_1,Centro_3,Producto_1,Cliente_12,6.43,10.82
Planta_1,Centro_3,Producto_2,Cliente_12,8.64,5.48
Planta_1,Centro_3,Producto_3,Cliente_12,2.09,4.64
Planta_1,Centro_3,Producto_4,Cliente_12,9.2,13.49
Planta_1,Centro_3,Producto_5,Cliente_12,6.78,10.21
Planta_1,Centro_3,Producto_1,Cliente_13,7.32,5.1
Planta_1,Centro_3,Producto_2,Cliente_13,9.32,8.03
Planta_1,Centro_3,Producto_3,Cliente_13,5.07,9.23
Planta_1,Centro_3,Producto_4,Cliente_13,2.38,5.0
Planta_1,Centro_3,Producto_5,Cliente_13,7.9,3.99
Planta_1,Centro_3,Producto_1,Cliente_14,6.83,5.94
Planta_1,Centro_3,Producto_2,Cliente_14,5.11,6.46
Planta_1,Centro_3,Producto_3,Cliente_14,4.85,11.63
Planta_1,Centro_3,Producto_4,Cliente_14,4.38,9.8
Planta_1,Centro_3,Producto_5,Cliente_14,5.81,10.96
Planta_1,Centro_3,Producto_1,Cliente_15,9.49,11.79
Planta_1,Centro_3,Producto_2,Cliente_15,3.72,3.37
Planta_1,Centro_3,Producto_3,Cliente_15,4.1,10.14
Planta_1,Centro_3,Producto_4,Cliente_15,2.41,8.96
Planta_1,Centro_3,Producto_5,Cliente_15,6.77,7.01
Planta_1,Centro_3,Producto_1,Cliente_16,8.17,4.28
Planta_1,Centro_3,Producto_2,Cliente_16,2.6,11.74
Planta_1,Centro_3,Producto_3,Cliente_16,5.96,11.26
Planta_1,Centro_3,Producto_4,Cliente_16,5.48,5.96
Planta_1,Centro_3,Producto_5,Cliente_16,8.55,12.59
Planta_1,Centro_3,Producto_1,Cliente_17,7.56,6.27
Planta_1,Centro_3,Producto_2,Cliente_17,6.72,7.33
Planta_1,Centro_3,Producto_3,Cliente_17,2.73,14.01
Planta_1,Centro_3,Producto_4,Cliente_17,3.09,14.4
Planta_1,Centro_3,Producto_5,Cliente_17,5.57,5.22
Planta_1,Centro_3,Producto_1,Cliente_18,6.34,13.48
Planta_1,Centro_3,Producto_2,Cliente_18,7.86,12.68
Planta_1,Centro_3,Producto_3,Cliente_18,7.27,11.31
Planta_1,Centro_3,Producto_4,Cliente_18,8.79,6.0
Planta_1,Centro_3,Producto_5,Cliente_18,5.92,5.65
Planta_1,Centro_3,Producto_1,Cliente_19,9.9,14.33
Planta_1,Centro_3,Producto_2,Cliente_19,2.32,11.47
Planta_1,Centro_3,Producto_3,Cliente_19,9.4,5.17
Planta_1,Centro_3,Producto_4,Cliente_19,6.54,13.99
Planta_1,Centro_3,Producto_5,Cliente_19,2.27,11.37
Planta_1,Centro_3,Producto_1,Cliente_20,4.38,14.09
Planta_1,Centro_3,Producto_2,Cliente_20,9.77,14.33
Planta_1,Centro_3,Producto_3,Cliente_20,5.79,13.34
Planta_1,Centro_3,Producto_4,Cliente_20,8.76,6.83
Planta_1,Centro_3,Producto_5,Cliente_20,8.63,3.44
Planta_1,Centro_4,Producto_1,Cliente_1,6.77,5.76
Planta_1,Centro_4,Producto_2,Cliente_1,2.96,3.92
Planta_1,Centro_4,Producto_3,Cliente_1,7.57,7.08
Planta_1,Centro_4,Producto_4,Cliente_1,7.8,3.78
Planta_1,Centro_4,Producto_5,Cliente_1,4.52,9.47
Planta_1,Centro_4,Producto_1,Cliente_2,8.33,6.83
Planta_1,Centro_4,Producto_2,Cliente_2,7.01,13.63
Planta_1,Centro_4,Producto_3,Cliente_2,6.93,5.8
Planta_1,Centro_4,Producto_4,Cliente_2,2.2,13.44
Planta_1,Centro_4,Producto_5,Cliente_2,2.17,13.5
Planta_1,Centro_4,Producto_1,Cliente_3,6.23,14.27
Planta_1,Centro_4,Producto_2,Cliente_3,8.39,14.98
Planta_1,Centro_4,Producto_3,Cliente_3,4.81,12.21
Planta_1,Centro_4,Producto_4,Cliente_3,5.22,8.76
Planta_1,Centro_4,Producto_5,Cliente_3,7.02,13.48
Planta_1,Centro_4,Producto_1,Cliente_4,9.87,12.22
Planta_1,Centro_4,Producto_2,Cliente_4,5.34,8.06
Planta_1,Centro_4,Producto_3,Cliente_4,7.9,5.87
Planta_1,Centro_4,Producto_4,Cliente_4,2.88,7.26
Planta_1,Centro_4,Producto_5,Cliente_4,4.3,6.56
Planta_1,Centro_4,Producto_1,Cliente_5,3.87,3.51
Planta_1,Centro_4,Producto_2,Cliente_5,2.14,14.85
Planta_1,Centro_4,Producto_3,Cliente_5,5.42,7.61
Planta_1,Centro_4,Producto_4,Cliente_5,7.44,5.62
Planta_1,Centro_4,Producto_5,Cliente_5,9.6,12.44
Planta_1,Centro_4,Producto_1,Cliente_6,2.72,8.01
Planta_1,Centro_4,Producto_2,Cliente_6,9.03,14.34
Planta_1,Centro_4,Producto_3,Cliente_6,5.74,10.36
Planta_1,Centro_4,Producto_4,Cliente_6,3.34,14.89
Planta_1,Centro_4,Producto_5,Cliente_6,3.85,14.31
Planta_1,Centro_4,Producto_1,Cliente_7,7.2,10.29
Planta_1,Centro_4,Producto_2,Cliente_7,6.1,5.77
Planta_1,Centro_4,Producto_3,Cliente_7,3.41,5.65
Planta_1,Centro_4,Producto_4,Cliente_7,3.49,12.36
Planta_1,Centro_4,Producto_5,Cliente_7,4.8,3.69
Planta_1,Centro_4,Producto_1,Cliente_8,9.75,13.61
Planta_1,Centro_4,Producto_2,Cliente_8,9.42,14.94
Planta_1,Centro_4,Producto_3,Cliente_8,3.39,7.75
Planta_1,Centro_4,Producto_4,Cliente_8,8.07,11.35
Planta_1,Centro_4,Producto_5,Cliente_8,3.23,12.79
Planta_1,Centro_4,Producto_1,Cliente_9,3.8,5.69
Planta_1,Centro_4,Producto_2,Cliente_9,6.3,10.12
Planta_1,Centro_4,Producto_3,Cliente_9,6.64,4.1
Planta_1,Centro_4,Producto_4,Cliente_9,9.02,6.19
Planta_1,Centro_4,Producto_5,Cliente_9,3.04,13.66
Planta_1,Centro_4,Producto_1,Cliente_10,9.65,13.35
Planta_1,Centro_4,Producto_2,Cliente_10,8.48,10.86
Planta_1,Centro_4,Producto_3,Cliente_10,6.41,4.04
Planta_1,Centro_4,Producto_4,Cliente_10,5.27,7.47
Planta_1,Centro_4,Producto_5,Cliente_10,4.08,11.68
Planta_1,Centro_4,Producto_1,Cliente_11,5.97,3.97
Planta_1,Centro_4,Producto_2,Cliente_11,3.76,11.2
Planta_1,Centro_4,Producto_3,Cliente_11,2.61,13.21
Planta_1,Centro_4,Producto_4,Cliente_11,5.96,8.77
Planta_1,Centro_4,Producto_5,Cliente_11,6.74,12.9
Planta_1,Centro_4,Producto_1,Cliente_12,4.78,11.14
Planta_1,Centro_4,Producto_2,Cliente_12,6.53,6.2
Planta_1,Centro_4,Producto_3,Cliente_12,9.03,12.57
Planta_1,Centro_4,Producto_4,Cliente_12,7.27,13.21
Planta_1,Centro_4,Producto_5,Cliente_12,8.94,11.5
Planta_1,Centro_4,Producto_1,Cliente_13,8.7,11.37
Planta_1,Centro_4,Producto_2,Cliente_13,7.44,10.42
Planta_1,Centro_4,Producto_3,Cliente_13,8.02,4.9
Planta_1,Centro_4,Producto_4,Cliente_13,9.05,13.46
Planta_1,Centro_4,Producto_5,Cliente_13,2.23,12.91
Planta_1,Centro_4,Producto_1,Cliente_14,3.03,7.02
Planta_1,Centro_4,Producto_2,Cliente_14,7.95,4.93
Planta_1,Centro_4,Producto_3,Cliente_14,8.54,12.99
Planta_1,Centro_4,Producto_4,Cliente_14,6.06,3.08
Planta_1,Centro_4,Producto_5,Cliente_14,4.3,10.4
Planta_1,Centro_4,Producto_1,Cliente_15,9.85,10.58
Planta_1,Centro_4,Producto_2,Cliente_15,4.08,10.61
Planta_1,Centro_4,Producto_3,Cliente_15,6.32,12.36
Planta_1,Centro_4,Producto_4,Cliente_15,2.86,12.13
Planta_1,Centro_4,Producto_5,Cliente_15,6.33,14.56
Planta_1,Centro_4,Producto_1,Cliente_16,4.73,10.59
Planta_1,Centro_4,Producto_2,Cliente_16,9.46,4.23
Planta_1,Centro_4,Producto_3,Cliente_16,9.5,11.25
Planta_1,Centro_4,Producto_4,Cliente_16,2.54,6.61
Planta_1,Centro_4,Producto_5,Cliente_16,7.67,3.81
Planta_1,Centro_4,Producto_1,Cliente_17,6.66,7.15
Planta_1,Centro_4,Producto_2,Cliente_17,6.97,3.55
Planta_1,Centro_4,Producto_3,Cliente_17,8.97,14.68
Planta_1,Centro_4,Producto_4,Cliente_17,9.75,12.0
Planta_1,Centro_4,Producto_5,Cliente_17,3.04,12.1
Planta_1,Centro_4,Producto_1,Cliente_18,2.2,3.27
Planta_1,Centro_4,Producto_2,Cliente_18,4.59,8.86
Planta_1,Centro_4,Producto_3,Cliente_18,8.16,11.2
Planta_1,Centro_4,Producto_4,Cliente_18,5.57,6.28
Planta_1,Centro_4,Producto_5,Cliente_18,9.98,8.11
Planta_1,Centro_4,Producto_1,Cliente_19,5.61,4.96
Planta_1,Centro_4,Producto_2,Cliente_19,8.36,11.32
Planta_1,Centro_4,Producto_3,Cliente_19,3.77,3.99
Planta_1,Centro_4,Producto_4,Cliente_19,7.44,10.85
Planta_1,Centro_4,Producto_5,Cliente_19,4.19,14.41
Planta_1,Centro_4,Producto_1,Cliente_20,3.21,8.19
Planta_1,Centro_4,Producto_2,Cliente_20,9.55,8.04
Planta_1,Centro_4,Producto_3,Cliente_20,7.11,7.77
Planta_1,Centro_4,Producto_4,Cliente_20,4.19,14.81
Planta_1,Centro_4,Producto_5,Cliente_20,5.27,13.73
Planta_1,Centro_5,Producto_1,Cliente_1,3.84,5.56
Planta_1,Centro_5,Producto_2,Cliente_1,2.25,10.82
Planta_1,Centro_5,Producto_3,Cliente_1,4.95,13.37
Planta_1,Centro_5,Producto_4,Cliente_1,5.79,14.62
Planta_1,Centro_5,Producto_5,Cliente_1,3.48,13.42
Planta_1,Centro_5,Producto_1,Cliente_2,8.21,12.25
Planta_1,Centro_5,Producto_2,Cliente_2,8.76,12.13
Planta_1,Centro_5,Producto_3,Cliente_2,7.01,4.57
Planta_1,Centro_5,Producto_4,Cliente_2,2.26,14.05
Planta_1,Centro_5,Producto_5,Cliente_2,6.93,12.56
Planta_1,Centro_5,Producto_1,Cliente_3,5.85,4.41
Planta_1,Centro_5,Producto_2,Cliente_3,3.0,11.23
Planta_1,Centro_5,Producto_3,Cliente_3,5.44,5.41
Planta_1,Centro_5,Producto_4,Cliente_3,5.93,3.77
Planta_1,Centro_5,Producto_5,Cliente_3,6.66,6.23
Planta_1,Centro_5,Producto_1,Cliente_4,8.38,6.72
Planta_1,Centro_5,Producto_2,Cliente_4,5.64,3.14
Planta_1,Centro_5,Producto_3,Cliente_4,2.58,7.71
Planta_1,Centro_5,Producto_4,Cliente_4,5.84,10.2
Planta_1,Centro_5,Producto_5,Cliente_4,4.33,11.34
Planta_1,Centro_5,Producto_1,Cliente_5,8.88,12.36
